### Footprint positions - created on Sun Apr 30 22:38:36 2023 ###
### Printed by KiCad version 7.0.1
## Unit = mm, Angle = deg.
## Side : top
Designator    ,      Package                                     ,     Mid X ,     Mid Y ,  Layer,     Rotation
R20      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  77.8510 , -66.9290 ,  top, 90.0000 
R21      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  74.9540 , -65.6590 ,  top,-90.0000 
R22      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  73.0250 , -71.5010 ,  top,180.0000 
R23      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  76.3645 , -56.6660 ,  top,180.0000 
R24      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  81.1145 , -57.4160 ,  top,-90.0000 
R25      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  76.3645 , -58.1660 ,  top,  0.0000 
R26      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  78.5180 , -60.2995 ,  top, 90.0000 
R27      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  80.5180 , -60.9600 ,  top,180.0000 
R28      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  76.3645 , -62.2300 ,  top,180.0000 
R29      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  76.9620 , -60.1980 ,  top,-90.0000 
R30      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  81.2800 , -62.9920 ,  top, 90.0000 
R31      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  76.3645 , -63.7540 ,  top,  0.0000 
R32      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  69.3420 , -50.7850 ,  top,-90.0000 
R33      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  70.0920 , -45.9475 ,  top,  0.0000 
R34      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  70.8660 , -50.7850 ,  top, 90.0000 
R35      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  73.0505 , -48.6155 ,  top,180.0000 
R36      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  73.9140 , -46.6155 ,  top,-90.0000 
R37      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  75.1840 , -50.6335 ,  top,-90.0000 
R38      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  73.1520 , -49.9750 ,  top,  0.0000 
R39      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  75.9460 , -45.9595 ,  top,  0.0000 
R40      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  76.7080 , -50.6335 ,  top, 90.0000 
R41      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  62.9825 , -53.6000 ,  top, 90.0000 
R42      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  63.1000 , -62.2000 ,  top, 90.0000 
